ta_abbr,tech_area,iso3,country,priority
r5,Risk Communication,MLI,Mali,"Develop and implement a resource mobilization plan (human, material and financial) for the dissemination of messages, especially in times of health emergency."
poe,Points of Entry,MLI,Mali,"Designate an appropriate number of entry points, taking into account resources, human travel and funding; and to establish at all these points of entry the essential multi-sectoral capacity and appropriate medical services, including diagnostic means for the examination and prompt handling of ill travelers, personnel, equipment and adequate premises."
poe,Points of Entry,MLI,Mali,Establish a functional supervision system at entry point level.
poe,Points of Entry,MLI,Mali,Finalize the national strategic emergency management plan and share it with all stakeholders.
poe,Points of Entry,MLI,Mali,Develop standardized multi-sector and multi-sector Operational Protocols (SOPs) and train all stakeholders at all points of entry into the National Emergency Management Plan and its protocols.
poe,Points of Entry,MLI,Mali,Practice the proper use of POS through regular simulation exercises with all actors and at all entry points.
ce,Chemical Emergencies,MLI,Mali,"Harmonize the legal arsenal and put in place a manual on the monitoring, evaluation and management of chemicals and chemical-related events."
ce,Chemical Emergencies,MLI,Mali,Inventory and strengthen the capacity of toxicological analysis laboratories.
ce,Chemical Emergencies,MLI,Mali,Set up a National Poison Control and Toxicovigilance Center.
ce,Chemical Emergencies,MLI,Mali,"Establish a coordination mechanism among all stakeholders in chemical safety, industry, transportation, safe product disposal and health."
ce,Chemical Emergencies,MLI,Mali,"Develop an intersectoral action plan that includes monitoring, alerting and responding to a chemical event."
re,Radiation Emergencies,MLI,Mali,"Organize seminars to sensitize senior medical personnel to Radiation Protection and Radiological Medical Emergencies, and then create a Radiation Protection Module as part of the Advanced Medical University curriculum."
re,Radiation Emergencies,MLI,Mali,"Finalize Mali's national radiological emergency plan, including the responsibilities assigned to each actor in this plan."
re,Radiation Emergencies,MLI,Mali,"Use already existing means for the evaluation of internal contamination. To this end, establish a framework agreement between the hospitals and AMARAP."
re,Radiation Emergencies,MLI,Mali,Establish a hospital triage protocol for radiological injuries based on cross-checking of symptomatic observations and haematological examinations using the METREPOL approach.
re,Radiation Emergencies,MLI,Mali,Set up a hotline system of available radiological expertise available 24/7.
p1,"National legislation, Policy and Financing",CMR,Cameroon,Establish an intersectoral committee integrating the legal services of the ministerial departments concerned with the implementation of the IHR (2005) to carry out a systematic analysis of the national legislation / regulations in relation to the implementation of the IHR (2005) in order to identify the deficiencies to be corrected.
p1,"National legislation, Policy and Financing",CMR,Cameroon,Adapt if necessary by regulatory and / or legislative means to facilitate the implementation of the IHR (2005) for the results of the review.
p1,"National legislation, Policy and Financing",CMR,Cameroon,Advocate with the State and technical and financial partners to technically and financially support the implementation of the IHR (2005).
p1,"National legislation, Policy and Financing",CMR,Cameroon,Advocate with the government for a sustainable source of IHR funding (2005).
p2,"IHR Coordination, Communication and Advocacy",CMR,Cameroon,"Formalize by regulation the appointment of the National Focal Point RSI taking into account for its composition of the different domains of the RSI (2005) (health, agriculture, breeding, trade industry, security and transport)."
p2,"IHR Coordination, Communication and Advocacy",CMR,Cameroon,Train members of the National RSI Focal Point and other authorities involved in the implementation of the IHR (2005) in the performance of their duties.
p2,"IHR Coordination, Communication and Advocacy",CMR,Cameroon,"Develop standard operating procedures with the participation of all relevant sectors to facilitate the coordination, communication and promotion of the IHR (2005)."
p2,"IHR Coordination, Communication and Advocacy",CMR,Cameroon,Set up a platform for exchange and communication between members of the National RSI Focal Point.
p3,Antimicrobial Resistance,CMR,Cameroon,"Finalize, validate and disseminate the national plan for the detection and reporting of antimicrobial resistant pathogens by integrating the private sector."
p3,Antimicrobial Resistance,CMR,Cameroon,"Develop, validate and disseminate a national plan for nosocomial infection control programs. Establish a multidisciplinary and multisectoral technical group to implement this plan using the One Health approach."
p3,Antimicrobial Resistance,CMR,Cameroon,Strengthen the laboratories&#39; technical platforms for the detection of antimicrobial resistance.
p4,Zoonotic Disease,CMR,Cameroon,Develop and implement national guidelines for monitoring emerging zoonoses using the One Health approach.
p4,Zoonotic Disease,CMR,Cameroon,"Develop and disseminate procedures for collaboration and information-sharing between surveillance systems in animal, human and environmental health, including outside crisis episodes."
p4,Zoonotic Disease,CMR,Cameroon,"Develop, validate and implement the various plans to fight against zoonoses (contingency, surveillance, eradication, management)."
p4,Zoonotic Disease,CMR,Cameroon,"Integrate training in field epidemiology and the fight against zoonoses into training programs for human, animal and environmental health personnel."
p4,Zoonotic Disease,CMR,Cameroon,"Conduct the inventory of domestic animals on the one hand to provide the OIE with the data required to evaluate the use of antibiotics, on the other hand to allow the appropriate allocation of human resources."
p5,Food Safety,CMR,Cameroon,Develop and disseminate Standard Operating Procedures (SOPs) for collaboration and information sharing among stakeholders involved in food safety pending establishment of a Food Safety Agency.
p5,Food Safety,CMR,Cameroon,Develop a multisectoral plan to detect and respond to events related to food safety.
p5,Food Safety,CMR,Cameroon,Finalize the process of adoption of the draft framework law on food safety.
p5,Food Safety,CMR,Cameroon,Strengthen the analytical capacity of national food quality control laboratories.
p6,Biosafety and Biosecurity,CMR,Cameroon,Finalize and adopt the national law on safety and biosecurity.
p6,Biosafety and Biosecurity,CMR,Cameroon,"Develop and disseminate tools for documentation, notification, investigation and response to biological accidents / incidents and encourage structures that handle or store biological agents to develop, implement and evaluate their operational plans for safety and security biological safety."
p6,Biosafety and Biosecurity,CMR,Cameroon,Establish mechanisms for evaluating biological safety and security and procedures for officially classifying laboratories based on their biological containment capabilities.
p6,Biosafety and Biosecurity,CMR,Cameroon,Develop and implement a national training program on biological safety and security for laboratory personnel and all those handling biological agents.
p6,Biosafety and Biosecurity,CMR,Cameroon,Update the waste management plan by involving several sectors concerned.
p7,Immunization,CMR,Cameroon,"Finalize, validate and implement at least 80% of the data quality improvement plan within three years."
p7,Immunization,CMR,Cameroon,"Extend the supply of vaccines to zoonoses by systematically involving animal health authorities in the development of various vaccination plans (Comprehensive Multi-Year Plan, EPI Annual Work Plan, Maintenance Plan, Logistics Plan, etc.)."
p7,Immunization,CMR,Cameroon,"Continue to build the capacity of the various actors (logistics skills, vaccine management, use of related tools) to prevent vaccine breaks and losses, and increase routine immunization coverage for measles in children of 0 at 12 months from 80% to 90% within three years."
p7,Immunization,CMR,Cameroon,"Establish an advocacy strategy with the Government and technical and financial partners to equip the districts with solar energy cold chain equipment, ensure maintenance (preventive and curative), and thus achieve a vaccine availability of at least 90% at the operational level, within three years."
d1,National Laboratory System,CMR,Cameroon,"Establish the intersectoral network of human, animal and environmental health laboratories, including food safety."
d1,National Laboratory System,CMR,Cameroon,"Strengthen the laboratory&#39;s technical platform in terms of human resources, laboratory equipment and consumables, regular supply of reagents and diagnostic kits, but also in terms of training in equipment maintenance."
d1,National Laboratory System,CMR,Cameroon,Set up a harmonized and secure transport / sample transfer system at all levels with standardized operating procedures.
d1,National Laboratory System,CMR,Cameroon,Establish a national quality assurance and external quality assurance program for all laboratories in different sectors.
d1,National Laboratory System,CMR,Cameroon,Adopt and disseminate the various documents of the national strategic plan for laboratory development.
d2,Real Time Surveillance,CMR,Cameroon,Develop and implement standard operating procedures for integration of surveillance activities in accordance with the provisions of the SIMR while taking into account the One Health approach.
d2,Real Time Surveillance,CMR,Cameroon,"Strengthen the capacities of the health staff in IDSR through training, refresher courses and formative supervision, after situational needs analysis."
d2,Real Time Surveillance,CMR,Cameroon,"Adapt and implement at all levels of the health pyramid, the technical guidelines of the WHO AFRO community-based surveillance."
d2,Real Time Surveillance,CMR,Cameroon,Develop and implement a data quality improvement plan and a monitoring and evaluation plan for the RNIS.
d2,Real Time Surveillance,CMR,Cameroon,"Develop a platform for data sharing and surveillance information between the human, animal and environmental health sectors as part of the &quot;One Health&quot; approach."
d3,Reporting,CMR,Cameroon,"Develop and disseminate to all stakeholders of the National RSI Focal Point, standard operating procedures for the approval and notification to WHO, OIE or FAO of events likely to constitute an Emergency of Public Health of International Scope (USSPI) as part of the One Health approach."
d3,Reporting,CMR,Cameroon,"Strengthen the capacity of the National RSI Focal Point through training, financial and logistical support to improve its performance, including notification to WHO within 24 hours"
d3,Reporting,CMR,Cameroon,Organize simulation exercises to test the collaboration and coordination of the actors involved in the notification of events that could constitute a USPPI.
d4,Workforce Development,CMR,Cameroon,"Develop and implement a national human resources development plan, taking into account the evaluation of existing plans and the One Health approach, and incorporating a capitalization strategy."
d4,Workforce Development,CMR,Cameroon,Mapping human resources according to the &quot;One Health&quot; approach and putting in place a mechanism for territorial deployment of staff.
d4,Workforce Development,CMR,Cameroon,"Strengthen the training of surveillance actors at different levels (central, intermediate and peripheral) in field epidemiology FETP type."
d4,Workforce Development,CMR,Cameroon,Continue and expand the retention project for specialized health personnel involved in the implementation of the IHR (2005) in areas of difficult access.
r1,Preparedness,CMR,Cameroon,Develop a multi-sector national multi-risk plan for public health emergency preparedness and response taking into account existing plans and mapping already completed.
r1,Preparedness,CMR,Cameroon,Finalize comprehensive mapping of all national resources to develop a management and distribution plan for the resources needed to implement the IHR (2005).
r1,Preparedness,CMR,Cameroon,Continue the mapping risk exercises to test prepared preparedness plans.
r1,Preparedness,CMR,Cameroon,Advocate for strengthening the budget line allocated to the preparation and management of public health emergencies.
r2,Emergency Response Operations,CMR,Cameroon,"Finalize and disseminate the regulatory texts governing the creation, missions, operation and activation of the COUSP by specifying the methods of communication with the local and regional levels as well as the national partners (information and feedback)."
r2,Emergency Response Operations,CMR,Cameroon,"Make the COUSP operational 24 hours a day, 7 days a week, including the allocation of significant resources in terms of personnel, logistics and financing."
r2,Emergency Response Operations,CMR,Cameroon,Validate and implement operational plans and procedures for emergency response.
r2,Emergency Response Operations,CMR,Cameroon,"Develop and share a strategic plan of the COUSP taking into account existing plans and the documents necessary for its operation: incident management, command, planning, financing, case management applied for IHR hazards (2005)."
r3,Linking Public Health and Security Authorities,CMR,Cameroon,"Develop and implement a memorandum of understanding between public health and safety authorities for the management of public health emergencies, in accordance with the IHR (2005)"
r3,Linking Public Health and Security Authorities,CMR,Cameroon,Develop and implement standard operating procedures for coordinating joint action and information sharing between public health and security authorities in emergency situations.
r3,Linking Public Health and Security Authorities,CMR,Cameroon,"Strengthen the capacities of public health and security staff, including the establishment of a joint training program and simulation exercises."
r4,Medical Countermeasures and Personnel Deployment,CMR,Cameroon,"Finalize, validate, simulate, disseminate and implement the national medical supply chain plan, integrating the procedures for sending and receiving medical devices, and deploying personnel for emergency response."
r4,Medical Countermeasures and Personnel Deployment,CMR,Cameroon,Establish an information system for effective management of medical facilities throughout the supply chain.
r4,Medical Countermeasures and Personnel Deployment,CMR,Cameroon,"Develop an international partnership to support the sending and receiving of medical facilities, and the deployment of emergency response personnel on the basis of objective criteria."
r4,Medical Countermeasures and Personnel Deployment,CMR,Cameroon,Develop a plan for sending and receiving health personnel during a public health emergency.
r5,Risk Communication,CMR,Cameroon,Develop and implement a national risk communication plan taking into account existing sectoral communication plans.
r5,Risk Communication,CMR,Cameroon,Formally establish a multisectoral framework for consultation and harmonization for communication in emergencies.
r5,Risk Communication,CMR,Cameroon,Develop and disseminate standard operating procedures for communication in emergency situations.
r5,Risk Communication,CMR,Cameroon,"Develop, disseminate and implement a national plan for collecting and managing rumors."
r5,Risk Communication,CMR,Cameroon,"Develop and implement a capacity building plan for all stakeholders on risk communication, taking into account the &quot;one health&quot; spirit."
poe,Points of Entry,CMR,Cameroon,"Finalize, validate, disseminate to all stakeholders the Strategic Plan for Cross-Border Surveillance in Cameroon integrated with other public health action plans."
poe,Points of Entry,CMR,Cameroon,Organize regular and intersectoral simulation exercises.
poe,Points of Entry,CMR,Cameroon,"Revise and formally designate entry points in relation to the IHR (2005) and make available to all designated ports of entry the appropriate medical services, including personnel, equipment, adequate premises and diagnostic facilities for examination and taking fast charge of sick travelers."
poe,Points of Entry,CMR,Cameroon,Test and update data collection tools (including District Health Information Software DHIS2) at ports of entry.
poe,Points of Entry,CMR,Cameroon,Develop standard operating procedures for the inspection of means of transport and for the identification and transfer of patients to specialized medical facilities.
ce,Chemical Emergencies,CMR,Cameroon,"Develop and implement guidelines for the monitoring, evaluation and management of chemical-related events, intoxications or post-inventory poisoning of major sources of chemical hazards (industries, refineries, warehouses), and set priorities to develop contingency plans"
ce,Chemical Emergencies,CMR,Cameroon,Develop a chemical event management contingency plan that is part of the national plan for managing public health events.
ce,Chemical Emergencies,CMR,Cameroon,"Establish laboratories to control the diagnosis, analysis and quality of chemicals with the necessary human and material resources."
ce,Chemical Emergencies,CMR,Cameroon,Strengthen multisectoral coordination mechanisms for response to chemical events and chemical safety.
ce,Chemical Emergencies,CMR,Cameroon,"Create multisectoral coordination mechanisms to implement waste regulations in health facilities, laboratories, pharmacies and others."
re,Radiation Emergencies,CMR,Cameroon,"Finalize, validate, implement the national multisectoral radiological emergency plan."
re,Radiation Emergencies,CMR,Cameroon,Finalize and officially designate hospitals for case management by strengthening their skills (human and material resources).
re,Radiation Emergencies,CMR,Cameroon,Develop and implement a simulation exercise plan.
p1,"National legislation, Policy and Financing",BEN,Benin,Set up an inter-sectoral Committee of Legal Technical Advisors (CTJ) which will review the existing national texts before it can identify the texts that need to be adapted to the IHR.
p1,"National legislation, Policy and Financing",BEN,Benin,"Strengthen the state&#39;s ability to adapt and align with legislation, policies and administrative arrangements at the national level to enable the implementation of the IHR (2005), based on the WHO&#39;s guide on strengthening of the RSI legislation."
p1,"National legislation, Policy and Financing",BEN,Benin,Advocate with the state and technical and financial partners for strengthening and enforcing legislation.
p2,"IHR Coordination, Communication and Advocacy",BEN,Benin,Naming by regulatory means a PFNRSI.
p2,"IHR Coordination, Communication and Advocacy",BEN,Benin,Develop standard operating procedures for coordination between NTFP and different sectors.
p2,"IHR Coordination, Communication and Advocacy",BEN,Benin,Guarantee sustainable funding for the activities of PFNRSI.
p2,"IHR Coordination, Communication and Advocacy",BEN,Benin,Establish an operational exchange platform to institutionalize the One Health concept at the different levels of the health system.
