"id","ta_abbr","tech_area","cntr_abbr","country","priority"
12,"poe","Points of Entry","AFG","afghanistan","Develop a public health contingency plan for all hazards at PoE with the involvement of relevant stakeholders. Develop SOPs on the early detection, investigation and initial assessment of ill passengers detected at PoE, and train personnel on their implementation. Involve PoE and facilities around them in the national vector surveillance and control programme. Consider establishing cross-border agreements for the early detection and rapid response to public health events."
13,"ce","Chemical Emergencies","AFG","afghanistan","Embed an understanding and awareness of chemical event surveillance within the overall surveillance system, and further develop the response capability of chemical events. Develop further chemical testing capacity for common chemical threats either in country or by agreement with neighbouring countries. Develop a clearer cross-sector understanding and system for assessing chemical threats. Update the National Environmental Pesticides strategy for 20"
14,"re","Radiation Emergencies","AFG","afghanistan","Provide training on radiation safety for those who could be exposed. Build radiation awareness and the capacity of first-line staff to respond to radiation incidents. Develop an emergency radiological response plan and establish a coordination body with relevant sectors. Develop capacity for radiological monitoring and initial source identification."
15,"p2","IHR Coordination, Communication and Advocacy","AFG","afghanistan",". Establish an IHR multisectoral coordination committee with high-level representation and defined ToRs. 2. Continue ongoing, regular advocacy activities for all relevant stakeholders to promote awareness of IHR implementation. 3. Develop a national plan of action for IHR implementation based on the results of the JEE."
16,"p3","Antimicrobial Resistance","AFG","afghanistan",". Develop a national plan for the detection and reporting of AMR pathogens that includes both ani- mal and human health. 2. Develop and ensure availability of an infection prevention and control policy, operational plan and SOPs at all health facilities. 3. Train health workers on health care-associated infection (HCAI) prevention and control programmes. 4. Strengthen the AMR surveillance system and ensure it is connected to the national surveillance sys- tem, and able to share data in real time."
17,"p4","Zoonotic Disease","AFG","afghanistan",". Finalize and ratify the National Zoonotic Disease Strategy, which should: a. sustain the current surveillance systems and evolve towards more active surveillance and elec- tronic information sharing; b. improve the current joint response mechanism; c. improve multisectoral cooperation at the national level; d. devise a compensation plan to encourage reporting of disease from farmers.2. Devise a plan to include zoonotic diseases in the veterinary workforce academic training, special workshops, and as part of the FETP."
18,"p5","Food Safety","AFG","afghanistan",". Establish the food control authority as mandated by the Food Safety Law. The authority should in- clude focal points from all relevant sectors including, but not limited to the MoPH (epidemiology, laboratory, environmental health); MAIL (epidemiology, laboratory); MoC; and municipalities, water- works and sanitation. 2. Improve the current surveillance system to include foodborne illness as a notifiable disease. Surveil- lance should also include the ability to detect pathogens and contaminants in food. 3. Develop SOPs for the investigation and response to foodborne diseases and train involved personnel on implementing these SOPs."
19,"d2","Real Time Surveillance","AFG","afghanistan",". Strengthen capacity-building of the surveillance staff on emerging and re-emerging diseases. 2. Strengthen the laboratory surveillance system. 3. Strengthen the inter- and intrasectoral coordination mechanism through regular forums (MoPH and MAIL, Ministry of Security and other relevant stakeholders)."
20,"ce","Chemical Emergencies","AFG","afghanistan","7 2020. 52 of IHR Core Capacities of the Islamic Republic of Afghanistan"
21,"p3","Antimicrobial Resistance","ALB","albania","Antimicrobial resistance"
22,"r3","Linking Public Health and Security Authorities","ALB","albania","The following recommendations suggest priority actions to address major gaps in Albania s capabilitiesconcerning linkages between public health and the security sector."
23,"p1","National legislation, Policy and Financing","ALB","albania","Implementation is a big challenge and should be a primary focus for attention."
24,"p2","IHR Coordination, Communication and Advocacy","ALB","albania","Intensify the cooperation within the IHR coordination committee outside emergencies by having regular meetings, and clarify the roles of the participating institutions."
25,"p3","Antimicrobial Resistance","ALB","albania","Build a web-based laboratory reporting system capable of transmitting the results of bacterial culture and antibiotic susceptibility testing to a database that can be used for epidemiological analyses of antibiotic resistance trends."
26,"p4","Zoonotic Disease","ALB","albania","Develop a generic zoonotic plan to improve the coordination between animal and public health."
27,"p5","Food Safety","ALB","albania","Formalize plans for effective communication and collaboration between sectors."
28,"p6","Biosafety and Biosecurity","ALB","albania","The regulations and WHO recommendations currently used in the field of biosafety and biosecurity should be formalized in comprehensive national legislation in order to safeguard necessary standards in this area."
29,"p7","Immunization","ALB","albania","Maintain vigilance for monitoring and evaluation of high coverage and adequate funding for immunization programme."
30,"d1","National Laboratory System","ALB","albania","Map the microbiology network, and streamline it if necessary."
31,"d2","Real Time Surveillance","ALB","albania","Implement the web-based surveillance application."
32,"d3","Reporting","ALB","albania","In line with the multihazard, whole-of-government approach, review reporting requirements for all IHR- bound sectors (e.g. environment, customs, border control, transportation, emergency and chemical) for notifying an event with potential public health impact. Focus on underlying legislations, protocols and SOPs for the individual sectors, and linkages between these."
33,"d4","Workforce Development","ALB","albania","Provide specialized training for medical doctors, nurses, veterinarians and statisticians in field epidemiology."
34,"r1","Preparedness","ALB","albania","Involve all relevant sectors in developing a multihazard public health emergency preparedness and response plan."
35,"r2","Emergency Response Operations","ALB","albania","Establish a health EOC with all associated plans and procedures, together with an increase in the number of staff dedicated to this area of work."
36,"r3","Linking Public Health and Security Authorities","ALB","albania","Apart from formal coordinating structures, public health and security services to develop and codify the permanent mechanism for the exchange of reports and information on events of joint concern at national, intermediate and local levels."
37,"r4","Medical Countermeasures and Personnel Deployment","ALB","albania","An action plan setting out the decision-making process and procedures for sending and receiving medical countermeasures during a public health emergency to be developed, officially adopted and tested during exercises."
38,"r5","Risk Communication","ALB","albania","Develop a risk communication plan across sectors."
39,"poe","Points of Entry","ALB","albania","Formalize coordination between the different sectors working at points of entry, through the development of written SOPs and the organization of regular meetings, even when there is no public health emergency."
40,"ce","Chemical Emergencies","ALB","albania","Develop mechanisms and protocols to ensure the implementation of legislation, in particular through a regular and timely exchange of information.9 See http://ec.europa.eu/environment/seveso/ 4"
41,"re","Radiation Emergencies","ALB","albania","Include regular evaluation and revision of the integrated national emergency response plan in the legislation as an obligation for all responsible stakeholders."
42,"p1","National legislation, Policy and Financing","ALB","albania","There is a need for more joint operational protocols and guidelines to be developed and tested with all sectors."
43,"p2","IHR Coordination, Communication and Advocacy","ALB","albania","Develop SOPs for responding to IHR relevant events by identifying, mandating and funding staff to do this."
44,"p3","Antimicrobial Resistance","ALB","albania","Build a web-based reporting system to capture courses of antibiotics prescribed, including manufacturer name and generic name, and that can be integrated with the antibiotic resistance testing database."
45,"p4","Zoonotic Disease","ALB","albania","Increase the capacity to jointly respond to zoonotic outbreaks."
46,"p5","Food Safety","ALB","albania","Establish and implement food safety control management systems."
47,"p6","Biosafety and Biosecurity","ALB","albania","The necessary resources for basic biosafety measures, such as validation and servicing of facilities and equipment used in diagnostics and training of staff, should be provided."
48,"p7","Immunization","ALB","albania","Continue efforts to introduce new vaccines to the schedule."
49,"d1","National Laboratory System","ALB","albania","Set up CDC, ISO or WHO quality assurance frameworks in the laboratories."
50,"d2","Real Time Surveillance","ALB","albania","Train surveillance staff on data analysis, particularly at subnational level."
51,"d3","Reporting","ALB","albania","After analysing current gaps, ensure that various national sectors are adequately obliged to report to the NFP any event that may potentially constitute a public health event of international concern. The criteria given in the IHR (2005) Annex 2 could be incorporated into the reporting requirements for the national sectors."
52,"d4","Workforce Development","ALB","albania","Recognize that training should also relate to salaries; currently there are few incentives to remain working in the district."
53,"r1","Preparedness","ALB","albania","Provide laboratories with sufficient PPE (see also the section on Biosafety and Biosecurity )."
54,"r2","Emergency Response Operations","ALB","albania","Establish a national training programme with an appropriate curriculum for staff working in the EOC and in case management of IHR-related emergencies."
55,"r3","Linking Public Health and Security Authorities","ALB","albania","Existing protocols regulating relations and dependencies between the health sector and security services to clearly define points of contact."
56,"r4","Medical Countermeasures and Personnel Deployment","ALB","albania","An action plan setting out the decision-making process and procedures for sending and receiving health personnel during a public health emergency to be developed, officially adopted and tested during exercises."
57,"r5","Risk Communication","ALB","albania","Implement regular training of staff."
58,"poe","Points of Entry","ALB","albania","Formalize the relationship between public health staff working at points of entry and the IPH."
59,"ce","Chemical Emergencies","ALB","albania","Strengthen human capacities in the Ministry of Health, and identify institutions responsible for chemical risk assessment and rapid risk assessment during chemical emergencies."
60,"re","Radiation Emergencies","ALB","albania","Organize exercises on a regular basis, ensuring that the Ministry of Health is involved and participates in an evaluation of the capacities needed for assessment of public health risks."
61,"p1","National legislation, Policy and Financing","ALB","albania","Additional coordination across sectors is required; for example, related to One Health surveillance."
62,"p2","IHR Coordination, Communication and Advocacy","ALB","albania","Intensify the intersectoral collaboration on issues relevant to IHR at the local and political level."
63,"p3","Antimicrobial Resistance","ALB","albania","Prepare a national antibiotic resistance One Health strategy."
64,"p4","Zoonotic Disease","ALB","albania","Establish a joint national committee on zoonoses."
65,"p6","Biosafety and Biosecurity","ALB","albania","The biosafety and biosecurity for national reference laboratories in the IPH and IFSVR should be improved. 18 of IHR Core Capacities of Albania"
66,"p7","Immunization","ALB","albania","Continue improvements to the cold chain."
67,"d1","National Laboratory System","ALB","albania","Codify key operations with SOPs."
68,"d2","Real Time Surveillance","ALB","albania","Provide funding and logistics to support confirmation and investigation of events 2"
69,"d3","Reporting","ALB","albania","Ensure that all national sectors undergo necessary training in IHR reporting requirements, including event-reporting criteria and Annex 2, and the NFP s role and mandate. Hold multisectoral workshops aimed at aligning applicable procedures within different sectors and communication mechanisms."
70,"d4","Workforce Development","ALB","albania","Further develop a full FETP programme; Albania has requested help to fulfil that requirement."
71,"r1","Preparedness","ALB","albania","Address the issue of communication in the multihazard public health emergency preparedness and response plan."
72,"r2","Emergency Response Operations","ALB","albania","Improve patient referral and transportation mechanisms."
73,"r3","Linking Public Health and Security Authorities","ALB","albania","The National Operational Plan for the integrated management of civil emergencies to be updated."
74,"r4","Medical Countermeasures and Personnel Deployment","ALB","albania","Albania to consider joining international agreements such as WHO s GOARN, or concluding agreements with partner countries on sharing (sending and receiving) medical countermeasures and health personnel during public health emergencies."
75,"r5","Risk Communication","ALB","albania","Improve use of social media."
76,"poe","Points of Entry","ALB","albania","Equip the airport with a vehicle for inspections and transport of ill travellers."
77,"ce","Chemical Emergencies","ALB","albania","Consider creating a poison control centre in line with WHO recommendations."
78,"re","Radiation Emergencies","ALB","albania","Equip storage facilities for radioactive waste in hospitals and in the centre for management of the waste (the IANP), in compliance with international norms. 5"
79,"p1","National legislation, Policy and Financing","ALB","albania","There is a need for more financial support."
80,"p3","Antimicrobial Resistance","ALB","albania","Establish national antibiotic prescribing formularies for primary, secondary and tertiary care."
81,"p4","Zoonotic Disease","ALB","albania","Update joint outbreak response protocols."
82,"p6","Biosafety and Biosecurity","ALB","albania","The level of biosafety achieved should be the same for centralized laboratories and other laboratories in the country."
83,"p7","Immunization","ALB","albania","Continue roll-out of the national electronic immunization registry."
84,"d4","Workforce Development","ALB","albania","Revise and update the workforce strategy. 7 See http://medipiet.eu/ 32 of IHR Core Capacities of Albania"
85,"r1","Preparedness","ALB","albania","Provide the necessary resources for these priority actions."
86,"r2","Emergency Response Operations","ALB","albania","Schedule public health exercises, both table-top and simulation."
87,"r3","Linking Public Health and Security Authorities","ALB","albania","A joint training programme of public health and security services to continue focusing on improving and exercising institutionalized knowledge of linkages between the services."
88,"p3","Antimicrobial Resistance","ALB","albania","Design policy and a delivery framework to promote sound antibiotic stewardship, including: m incentivizing and measuring prescriber compliance with the antibiotic formulary; m promoting antibiotic stewardship within programmes of continuing professional development; and m communicating with the public the reasonable expectation of not being prescribed antibiotics unless clearly indicated."
89,"p4","Zoonotic Disease","ALB","albania","Improve the exchange of information and establish an exchange platform for animal and public health data."
90,"r2","Emergency Response Operations","ALB","albania","Identify additional financial resources. 36 of IHR Core Capacities of Albania"
91,"p3","Antimicrobial Resistance","ALB","albania","Continue working jointly with veterinarians and the veterinary laboratory to promote lowering or elimination of antibiotic exposure in farmed animals for consumption.Health-care associated infection prevention and control programmes"
92,"p4","Zoonotic Disease","ALB","albania","Improve veterinary epidemiology."
93,"p1","National legislation, Policy and Financing","ARM","armenia","Conduct periodic reviews of existing legislation for IHR implementation to identify legislative gaps and duplications. 6 of IHR Core Capacities of the Republic of Armenia Expedite the adoption of the new Public Health Law: The new Law should support the integration of legislation of different sectors and different levels. Therefore, it is recommended to promote the adoption of this key legal document in the whole country. Develop SOPs for the implementation of national legislation at regional level. Continue to raise awareness about IHR implementation in all sectors, including in relation to the rights and obligations of Armenia since 2007. As the competency for IHR implementation of some capacities lies predominantly in the responsibility of other sectors, such as animal health or transport, the awareness of other sectors needs to be strengthened."
94,"p3","Antimicrobial Resistance","ARM","armenia","Establish integrated national (agriculture, veterinary and human sector) epidemiological surveillance system and expand to as many facilities/systems as possible. Further regulate the agricultural sector and start an antimicrobial resistance surveillance system. Finalize the next five-year plan (2017 2021) for in-hospital nosocomial infections information and management. 10 of IHR Core Capacities of the Republic of Armenia Expand and improve systems required for the rational use of antibiotics."
95,"p4","Zoonotic Disease","ARM","armenia","Further strengthen the One-Health concept by integrating human and animal surveillance systems through full operationalization of the already existing EIDSS. Further enhance the use of surveillance data in order to facilitate risk assessment of zoonotic diseases (such as analysis of research questions, geographic information system (GIS) mapping and research). Ensure further professional development of veterinarians with a focus on the local (community) level, through implementation of the existing plan for continuous training of staff. Perform a comprehensive retrospective review of multisectoral response to zoonotic events to evaluate early detection, and timely and rapid response to these events.PREVE"
96,"p5","Food Safety","ARM","armenia","Further enhance the national capacity for early detection and rapid response to foodborne diseases and food contamination by: m Raising public awareness of food safety through public campaigns. m Ensuring that the hotline call service managed by the SFSS is known to the public. 16 of IHR Core Capacities of the Republic of Armenia"
97,"p6","Biosafety and Biosecurity","ARM","armenia","Further the international accreditation for biosafety and biosecurity of laboratories in Armenia. Develop an action plan for the coordination of the biosafety and biosecurity training system and identification of possible gaps. 18 of IHR Core Capacities of the Republic of Armenia Implement compulsory licensing for all laboratories (including veterinary laboratories) including developing the quality component of licensing arrangements."
98,"p7","Immunization","ARM","armenia","Sustained advocacy for financial resource mobilization of the national vaccination programme and new vaccine introductions. Address vaccine hesitant groups with adapted communication methodologies. Improve quality of monitoring using electronic registry and vaccine management."
99,"d1","National Laboratory System","ARM","armenia","Expand the universal laboratory network to cover all public health laboratories in Armenia. Secure funding for national coordination of the expanding laboratory network. Obtain additional reference strains of pathogens to improve validation of diagnostic methods. 2 Implement a national EQA scheme including the required administrative organization. Fully operationalize the recently established reference laboratories of the"
100,"d2","Real Time Surveillance","ARM","armenia","Develop and implement electronic notification, which allows real-time access to surveillance data. Integrate reporting mechanisms using an electronic secure reporting system that is interoperable and interconnected and in real time (starting at the level of laboratories and physicians): While such a system is in place, notification data are still processed manually at the local level (data entry), i.e. data is not available in real-time mode. Include further syndromes in the already established syndromic surveillance system: The system currently allows the surveillance of four core syndromes. Further syndromes (such as acute watery diarrhoea with dehydration) should be integrated into the existing syndromic surveillance system, to ensure rapid detection of relevant infections of public health importance. Enhance training of peripheral level staff in disease surveillance: Educate and train staff at all levels of the notification system to strengthen the present surveillance systems, including indicator-based, event-based and syndromic surveillance. 2"
101,"d3","Reporting","ARM","armenia","Enhance communication and collaboration between the national IHR focal point of Armenia and the national IHR focal points of neighbouring countries with the facilitation of WHO. Enhance reporting of public health events detected at ground crossings with other countries by jointly designating these ground crossings for the implementation of IHR (2005) capacities. Conduct simulation exercises to test 24-hour timely notification of potential PHEIC to WHO. 28 of IHR Core Capacities of the Republic of Armenia"
102,"d4","Workforce Development","ARM","armenia","Initiate workforce planning, focusing specifically on the public health workforce; plan and monitor human resources across the full spectrum of public health services. 30 of IHR Core Capacities of the Republic of Armenia Rollout the national FETP currently being piloted by the International Scientific-Educational Center of the"
103,"r1","Preparedness","ARM","armenia","Prioritize rolling out of the Disaster Resilient Community Programme to national scale."
104,"r2","Emergency Response Operations","ARM","armenia","Enhance the early warning system by linking to indicator-based and event-based surveillance for early detection and rapid response to potential PHEIC. Enhance the capacity of risk assessment of potential PHEICs at the different administrative levels. Raise the awareness of the population regarding response to public health emergencies of different origins. Further enhance the capacity of the country on disaster risk reduction. 34 of IHR Core Capacities of the Republic of Armenia"
105,"r3","Linking Public Health and Security Authorities","ARM","armenia","Ensure accessibility of all existing plans to the relevant stakeholders of public health and security. Improve bilateral information sharing related to public health events detection, investigations and response. Review existing SOPs for joint investigation and response to public health events and develop necessary SOPs."
106,"r4","Medical Countermeasures and Personnel Deployment","ARM","armenia","Provide further training to regional-level distribution staff. Secure additional funding in order to increase stockpiles in the state material reserves. Modernize emergency response equipment, such as ambulances for transporting multiple victims and improve radio communication services. 3"
107,"r5","Risk Communication","ARM","armenia","RESPO"
108,"poe","Points of Entry","ARM","armenia","Review and update existing SOPs for the early detection and management of public health events at points of entry. Enhance planning and implementing of public health programmes, in particular vector control, to ensure a safe environment at points of entry. Establish a formal working group representing relevant stakeholders for streamlining activities, SOPs and plans with the exiting legal base."
109,"ce","Chemical Emergencies","ARM","armenia","Set up a coordinating poisons centre to enhance the functioning of chemical expertise. Develop and endorse a unified law governing chemical matters and a mandatory registration system for hazardous sites. Participate in international chemical/toxicological networks, such as I"
110,"re","Radiation Emergencies","ARM","armenia","Establish a formal training scheme to increase radiological expertise in younger generation specialists as experienced staff are retiring (not a unique situation to Armenia). Develop an integrated national radiological laboratory system. Develop a mobile decontamination facility that can be used at border crossings."
111,"p2","IHR Coordination, Communication and Advocacy","ARM","armenia","o priority actions were identified in this area."
112,"p4","Zoonotic Disease","ARM","armenia","T"
113,"d1","National Laboratory System","ARM","armenia","CDC and the State Food Safety Inspectorate."
114,"d4","Workforce Development","ARM","armenia","CDC. Allocate funding to increase the benefits package of public health professionals to ensure retention. Identify a long-term strategy, in dialogue with other countries in the region, for taking over responsibility of the South Caucasus FELTP, so as to reduce dependency from United States CDC."
115,"r5","Risk Communication","ARM","armenia","D Strengthen communication and knowledge management mechanisms, to enable daily sharing of media and rumour monitoring reports between the various public relations and communications teams working in the different ministries. Strengthen informal communications, relationships and trust between key actors in ministries other than health, agriculture and emergencies. Strengthen partnerships between local communities and authorities, and mechanisms to support the role of communities as equal partners . Ensure sustainable funding for risk communications activities, especially at the local level."
116,"ce","Chemical Emergencies","ARM","armenia","TOX and CHEM"
117,"ce","Chemical Emergencies","ARM","armenia","ET."
118,"d3","Reporting","AUS","australia","Although Australia has well-established capacity for reporting a PHEIC to WHO, several priority actionswere identified during the evaluation:"
119,"p1","National legislation, Policy and Financing","AUS","australia","Build on the existing National Framework for Communicable Disease Control to create an all-hazards health protection framework."
120,"p2","IHR Coordination, Communication and Advocacy","AUS","australia","Use the lessons identified through exercises and after-action reviews (AARs) to update health emergency plans in a timely manner and share with stakeholders as appropriate."
121,"p3","Antimicrobial Resistance","AUS","australia","Extend detection, surveillance, IPC and stewardship to non-hospital (primary care and community) settings."
122,"p4","Zoonotic Disease","AUS","australia","Introduce a formal process through committee structures between DoH and DAWR to regularly review a joint list of priority zoonotic diseases. Consider designating zoonotic diseases of public health importance in Australia as nationally notifiable in animals."
123,"p5","Food Safety","AUS","australia","Work towards an integrated multisectoral and multidisciplinary electronic surveillance and outbreak management system, coordinated by the DoH, that includes diagnostic and epidemiological data from food animals, food products, and humans."
124,"p6","Biosafety and Biosecurity","AUS","australia","Consider consolidating inspections and audits undertaken into single joint assessment visits for facilities operating under different regulatory frameworks and sectors (i.e. SSBA, Office of the Gene Technology Regulator, DAWR)."
125,"p7","Immunization","AUS","australia","Maintain and improve measles immunization coverage for all populations, in particular hard-to-reach populations (such as those in remote areas, Indigenous populations and migrant groups) and those in areas with lower coverage, to achieve 2020 target of 95%."
126,"d1","National Laboratory System","AUS","australia","Consider developing a OneHealth National Strategy to guide the public health laboratory testing and disease surveillance, engaging the veterinary livestock, zoonosis and food safety on all jurisdictional levels."
127,"d2","Real Time Surveillance","AUS","australia","Establish an interoperable, interconnected electronic disease surveillance system for both human and animal sectors, coordinated at the national level and incorporating an outbreak management system, to ensure a consistent platform across and within jurisdictions."
128,"d3","Reporting","AUS","australia","Strengthen communication between the IHR NFP and the OIE National Delegate, chemical sector and radiation sector, among others, through a formalized mechanism on potential public health risks reporting and information sharing."
129,"d4","Workforce Development","AUS","australia","Use existing data sources, including relevant accreditation schemes, to define the public health workforce in order to conduct forward planning, recruitment of appropriate categories of staff (including toxicology and radiation specialists) and development of future credentialing schemes."
130,"r1","Preparedness","AUS","australia","Collate and regularly update the national public health risk profile to include both infectious hazards and other IHR-relevant hazards built on the existing risk assessment on communicable diseases."
131,"r2","Emergency Response Operations","AUS","australia","Enhance the existing public health exercise programme to address all IHR-relevant hazards and to integrate multisectoral and multijurisdictional elements."
132,"r3","Linking Public Health and Security Authorities","AUS","australia","Develop and implement an annex under the MoU between DoH and DAWR to clearly articulate roles and responsibilities of agencies during times of escalated public health activity at points of entry, in consultation with Chief Human Biosecurity Officers from each state and territory."
133,"r4","Medical Countermeasures and Personnel Deployment","AUS","australia","Further develop, formalize and test arrangements and procedures to accept international health personnel into Australia during a disaster in a manner consistent with Australia s regulatory standards."
134,"r5","Risk Communication","AUS","australia","Implement a risk communication training programme for communications staff, emergency response employees, senior management decisions-makers and other relevant staff to establish a common understanding and expertise."
135,"poe","Points of Entry","AUS","australia","Develop an all-hazards multisectoral exercise programme for designated and non-designated PoEs, engaging states and territories and external stakeholders."
136,"ce","Chemical Emergencies","AUS","australia","Develop a reporting schema for Poison Information Centres / Poison Treatment Centres to provide early warning of high-risk chemical exposures to the IHR NFP."
137,"re","Radiation Emergencies","AUS","australia","Enhance the interoperability of federal and state/territory radiation operations through broad multisectoral/multijurisdictional exercises."
138,"p1","National legislation, Policy and Financing","AUS","australia","Undertake an analysis of policies related to the IHR (2005) to identify gaps and potential overlap in existing policies."
139,"p2","IHR Coordination, Communication and Advocacy","AUS","australia","Formalize annual feedback on the status of IHR(2005) implementation to relevant stakeholders through stakeholder meetings and annual report."
140,"p3","Antimicrobial Resistance","AUS","australia","Align antimicrobial susceptibility testing methodology across the country, including a balance of testing by genome sequencing and Polymerase Chain Reaction (PCR) with traditional culture and sensitivity."
141,"p4","Zoonotic Disease","AUS","australia","Establish a dedicated multisectoral national zoonosis committee or ensure reciprocal animal and human sector representation on their respective national zoonotic disease-related committees to enhance communications, bridge knowledge gaps and strengthen collaborative responses."
142,"p5","Food Safety","AUS","australia","Identify and prioritise food safety/food chain issues of specific concern (e.g. salmonellosis) that require working across sectors to decrease incidence."
143,"p6","Biosafety and Biosecurity","AUS","australia","Consider reviewing the regulatory framework to take into account risks of synthetic biology."
144,"p7","Immunization","AUS","australia","Promote community confidence in the NIP through effective communication strategies that support immunisation and overcome vaccine hesitancy."
145,"d1","National Laboratory System","AUS","australia","Develop a strategy for the systematic use of full genome microbial data for national disease surveillance."
146,"d2","Real Time Surveillance","AUS","australia","Enhance consistent collection and analysis of laboratory data by establishing or strengthening mechanisms to improve quality of denominator data and share data on overall laboratory testing (where relevant) at national, state and territory level."
147,"d3","Reporting","AUS","australia","Improve understanding of international obligations to meet WHO and OIE requirements on IHR events and animal diseases notification among national, state and local stakeholders through multisectoral discussions."
148,"d4","Workforce Development","AUS","australia","Work with states and territories to ensure sustainable mechanisms for epidemiologists and other public health professionals at state, territory and local level."
149,"r1","Preparedness","AUS","australia","Include Rapid Response Teams and stockpiles into resource mapping to relatively and rapidly address the gaps identified at national, state and territory levels based on risk assessment of all IHR relevant hazards."
150,"r2","Emergency Response Operations","AUS","australia","Develop policies and procedures to ensure the timely release of surge staff during times of response."
151,"r3","Linking Public Health and Security Authorities","AUS","australia","Establish clear mechanisms for coordinating regular information sharing and joint risk assessments across health and security agencies at the Australian Government, state and territory levels."
152,"r4","Medical Countermeasures and Personnel Deployment","AUS","australia","Engage with relevant departments and stakeholders on guidance to confer liability protection in relation to the manufacture, testing, development, distribution, administration, and use of medical countermeasures during a response."
153,"r5","Risk Communication","AUS","australia","Develop guidance for the strategic use of social media in emergencies that includes protocols for coordination among jurisdictions, sectors and stakeholders."
154,"poe","Points of Entry","AUS","australia","Establish electronic systems for storing and transmitting information between all relevant stakeholders related to the assessment of ill travellers at the border and the provision of passenger information for contact tracing purposes."
155,"ce","Chemical Emergencies","AUS","australia","Integrate all chemical monitoring and surveillance reporting from the different sectors into a national common operating picture of chemical exposures."
156,"re","Radiation Emergencies","AUS","australia","Develop federal guidance for jurisdictional first responder occupational exposures."
